2, 7875, Control_c, 0, 119, 78
2, 7882, Control_c, 0, 119, 0
2, 7890, Note_on_c, 0, 61, 0
2, 7890, Control_c, 0, 119, 127
2, 7905, Control_c, 0, 119, 0
2, 7912, Control_c, 0, 119, 0
2, 7920, Note_on_c, 0, 61, 113
2, 7920, Control_c, 0, 119, 117
2, 7920, Lyric_t, "dance "
2, 7935, Control_c, 0, 119, 10
2, 7942, Control_c, 0, 119, 0
2, 7950, Note_on_c, 0, 61, 0
2, 7950, Control_c, 0, 119, 113
2, 7965, Control_c, 0, 119, 14
2, 7972, Control_c, 0, 119, 0
2, 7980, Note_on_c, 0, 61, 123
2, 7980, Control_c, 0, 119, 91
2, 7980, Lyric_t, "with "
2, 7995, Control_c, 0, 119, 36
2, 8002, Control_c, 0, 119, 0
2, 8010, Note_on_c, 0, 61, 0
2, 8010, Control_c, 0, 119, 37
2, 8025, Control_c, 0, 119, 90
2, 8032, Control_c, 0, 119, 0
2, 8040, Note_on_c, 0, 61, 127
2, 8040, Control_c, 0, 119, 93
2, 8040, Lyric_t, "my "
2, 8055, Control_c, 0, 119, 34
2, 8062, Control_c, 0, 119, 0
2, 8070, Note_on_c, 0, 61, 0
2, 8070, Control_c, 0, 119, 43
2, 8081, Control_c, 0, 119, 84
2, 8086, Control_c, 0, 119, 0
2, 8092, Pitch_bend_c, 0, 5851
2, 8095, Pitch_bend_c, 0, 352
2, 8098, Pitch_bend_c, 0, 0
2, 8100, Note_on_c, 0, 61, 113
2, 8100, Lyric_t, "moth"
2, 8108, Pitch_bend_c, 0, 937
2, 8110, Pitch_bend_c, 0, 3979
2, 8113, Pitch_bend_c, 0, 7255
2, 8116, Pitch_bend_c, 0, 8192
2, 8116, Control_c, 0, 119, 122
2, 8168, Control_c, 0, 119, 5
2, 8194, Control_c, 0, 119, 0
2, 8220, Note_on_c, 0, 61, 0
2, 8220, Note_on_c, 0, 61, 110
2, 8220, Control_c, 0, 119, 71
2, 8220, Lyric_t, "er "
2, 8250, Control_c, 0, 119, 56
2, 8265, Control_c, 0, 119, 0
2, 8280, Note_on_c, 0, 61, 0
2, 8280, Note_on_c, 0, 63, 80
2, 8280, Control_c, 0, 119, 30
2, 8280, Lyric_t, "and "
2, 8295, Control_c, 0, 119, 97
2, 8302, Control_c, 0, 119, 0
2, 8310, Note_on_c, 0, 63, 0
2, 8323, Pitch_bend_c, 0, 6553
2, 8326, Pitch_bend_c, 0, 0
2, 8339, Pitch_bend_c, 0, 1171
